Track Name,Artist Name(s),Genre
Hyperreal,Grigoré,N/A
METAMORPHOSIS 2,INTERWORLD,phonk brasileiro
Feel It,NIKITA,N/A
Reasons,Eric K.,N/A
Guilty Conscience - Zookëper Remix,"070 Shake, Zookëper","new jersey rap, electro house, pop edm"
Cocaine,Phantoms,la pop
METAMORPHOSIS,INTERWORLD,phonk brasileiro
Encounters,"Yotto, Booka Shade","finnish edm, progressive house, electronica, frankfurt electronic, german techno, minimal techno"
Night Drive,Wilee,"anime phonk, chill phonk"
Paris Madness,Samaran,N/A
Tasty - Extended Mix,Me & My Toothbrush,N/A
Let It Happen - Soulwax Remix,"Tame Impala, Soulwax","australian psych, modern rock, neo-psychedelic, rock, alternative dance, belgian electronic, belgian indie, belgian indie rock, belgian rock, electronica, filter house, ghent indie, mashup"
Caught in a Dream,"PALASTIC, LissA","austrian pop, indie electropop"
Like Home,Robby East,"dutch edm, future house"
Virgo,Le Youth,"house, nu disco, uk dance"
You Give Me A Feeling,"Vintage Culture, James Hype","brazilian edm, deep groove house, house, pop dance, uk dance"
Pressure (feat. Tove Lo),"Martin Garrix, Tove Lo","dutch edm, edm, pop, pop dance, progressive house, dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop"
nCTRL - Lane 8 Remix,"Sultan + Shepard, Lane 8","canadian electronic, progressive house, gauze pop, progressive house"
Yours,"ZHU, Arctic Lake","edm, electro house, vapor pop"
9th Ave,Rodg,"progressive house, progressive trance"
Escape (feat. Hayla),"Kx5, deadmau5, Kaskade, Hayla","N/A, canadian electronic, complextro, edm, electro house, pop dance, progressive house, edm, electro house, pop dance, progressive electro house, progressive house, vocal house, N/A"
Someone New,"Natasha Eklove, Nicky Night Time","N/A, deep groove house"
Light,Nu Aspect,bassline
I Don't Wanna Leave - Innellea Remix,"RÜFÜS DU SOL, Innellea","australian electropop, indietronica, munich electronic"
Suddenly Funk - Ao Vivo,"Renato Cohen, Showlivre","N/A, N/A"
On My Mind - Purple Disco Machine Remix,"Diplo, SIDEPIECE, Purple Disco Machine","dance pop, edm, electro house, moombahton, pop dance, edm, house, tech house, deep house, house"
On My Mind,Algrthm,N/A
Dazzy Dancing,Hard Drive Library,N/A
If I Can't Get Down - Mousse T.'s Funky Shizzle Extended Mix,"Mike Dunn, Mousse T.","chicago house, classic house, deep house, deep house, disco house, vocal house"
Woman Like You - Sorley Remix,"kryptogram, Sorley","ukg revival, tech house, uk tech house"
I Confess (feat. ROMÉO),"Biscits, ROMÉO","bass house, house, tech house, uk dance, uk tech house, N/A"
euphoria,Aaron Hibell,"stutter house, uk dance"
I Want You,"MANIBA, Gil Glaze, Penny F.","N/A, swiss pop, N/A"
Silence,"Danny Leax, Sonam","N/A, N/A"
Fade Into Black (Club Mix),"Tinlicker, Panama","progressive house, australian indie, indietronica, nu disco, shimmer pop"
Chrysalis (Two To One),"Tritonal, Linney, Johan Vilborg, Adam Szabo","edm, electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance, N/A, progressive house, progressive trance, progressive trance house, N/A"
All I Need,Forester,stutter house
Chemistry,"KREAM, Camden Cox, IDEMI","pop dance, stutter house, N/A"
Lost,"CloudNone, Danyka Nadeau","N/A, N/A"
Under Pressure,"MEDUZA, Vintage Culture, Ben Samama","edm, pop dance, pop house, uk dance, brazilian edm, N/A"
Deep (with DJ Snake & Yung Felix),"Malaa, DJ Snake, Yung Felix","bass house, brostep, edm, electro house, electronic trap, house, dance pop, edm, electronic trap, pop, pop dance, dutch hip hop, dutch rap pop"
Into The Light,"Notaker, Karra","complextro, la pop, pop edm"
Nostalgic,"Ekonovah, Bella Renee","bass house, N/A"
Pieces,AVAION,N/A
Trip,"Blank Sense, Robert Flott","tech house, N/A"
My Feelings For You - Mark Knight Remix,"Avicii, Sebastien Drums, Mark Knight","dance pop, edm, pop, pop dance, progressive electro house, house, progressive house, tech house, uk house"
Drugs From Amsterdam,Mau P,tech house
Feel Alive (with Sky Blu of LMFAO),"TELYKAST, Sky Blu","N/A, N/A"
"Take Off, Baby! feat. Orlando - Original Mix","Ronald Christoph, Orlando","N/A, N/A"
Mesmerized,Ben Plaskett,N/A
Yeah The Girls,"FISHER, MERYLL","australian house, house, N/A"
Let It Be,CAZZETTE,"complextro, edm, electro house, pop dance, progressive electro house"
Midnight,Interupt,bassline
Play,"Jax Jones, Years & Years","dance pop, edm, house, pop dance, uk dance, uk pop, dance pop, gauze pop, pop, pop dance, uk pop"
Enight,Juche,"hardwave, wave"
LIGHTWAVES,"Benny Benassi, Anabel Englund","edm, electro house, pop dance, N/A"
Zhudio54,"ZHU, partywithray","edm, electro house, N/A"
Who Are You? - Chris Lake Remix,"Miane, Chris Lake","tech house, bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house"
Nothing Better,"Chris Lake, Chris Lorenzo","bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house, bass house, house, tech house"
Lies,"Sebastian Wibe, Jack Dawson","pop edm, N/A"
no 1 else,shYbeast,N/A
Gimme Some Keys,Matroda,"bass house, electro house, tech house"
Consciousness - Eric Prydz Remix,"Anyma, Chris Avantgarde, Eric Prydz","stutter house, N/A, dutch house, edm, electro house, house, pop dance, progressive electro house, progressive house"
World Hold On - FISHER Rework,"Bob Sinclar, FISHER, Steve Edwards","disco house, filter house, australian house, house, N/A"
Devon - Oliver Huntemann Remix,"Oliver Schories, Oliver Huntemann","deep euro house, hamburg electronic, minimal techno, dark techno, german techno, hamburg electronic, high-tech minimal, minimal techno"
Miracle Maker,"Dom Dolla, Clementine Douglas","australian house, deep groove house, house, uk dance"
Look My Way,Tempura,N/A
I'm God,"Clams Casino, Imogen Heap","cloud rap, experimental hip hop, instrumental hip hop, psychedelic hip hop, wonky, etherpop, metropopolis"
Wildfire - Colyn Remix,"RÜFÜS DU SOL, Colyn","australian electropop, indietronica, melodic techno"
AROSE,Lyke,N/A
Afraid To Feel,LF SYSTEM,uk dance
The Sound of Winter,Bush,"alternative metal, alternative rock, grunge, nu metal, pop rock, post-grunge, rock"
Nobody Like You - Sun Soaked Mix,Kaskade,"edm, electro house, pop dance, progressive electro house, progressive house, vocal house"
Consciousness,Cosmic Gate,"german techno, german trance, progressive house, progressive trance, trance"
Take Me,RÜFÜS DU SOL,"australian electropop, indietronica"
Make It Happen,RÜFÜS DU SOL,"australian electropop, indietronica"
It's A Killa,"FISHER, Shermanology","australian house, house, dutch house"
Heartbeat,Childish Gambino,"atl hip hop, hip hop, rap"
In A Club,"VOLAC, illusionize, Andre Longo","bass house, tech house, brazilian bass, brazilian edm, brazilian house, N/A"
Ferrari,"James Hype, Miggy Dela Rosa","deep groove house, house, pop dance, uk dance, dance pop, pop dance"
Gotta Go,Falling Decibyls,N/A
Long Way Home - Radio Edit,"Going Deeper, TRØVES","pop edm, russian edm, sky room, N/A"
Golden (feat. Blondfire),"Sander van Doorn, Blondfire","dutch house, dutch trance, edm, electro house, pop dance, progressive electro house, progressive house, metropopolis, shimmer pop"
All I Want,Just Because,N/A
Riptide,"Lane 8, Davey Havok","gauze pop, progressive house, N/A"
Gone Tomorrow - Short Edit,Lika Morgan,house
Relax (Don't Do It) - Short Edit,Lika Morgan,house
Lost Messages,Miguel Migs,deep house
Terrified,"Vintage Culture, KVSH, Bruno Be, The Beach","brazilian edm, brazilian edm, trance brasileiro, brazilian edm, indie anthem-folk"
Miss Me,"NUZB, MALARKEY","brazilian edm, brazilian house, N/A"
Never Going Home,Kungs,"edm, pop dance, uk dance"
The Calling,"Tchami, Marten Hørger","deep groove house, edm, electro house, future house, house, pop dance, progressive house, bass house, tech house"
Coming Home,King Topher,N/A
Guide,"Denis Kenzo, Kate Miles","progressive house, progressive trance, russian edm, russian trance, trance, uplifting trance, N/A"
As I Sleep (feat. Charlee) [BODÉ Remix] - Club Mix,"Tobtok, Adrian Lux, Charlee, BODÉ","deep groove house, deep tropical house, uk dance, progressive electro house, N/A, N/A"
Never Be The Same - ALPHA 9 Remix,"Tritonal, Rosie Darling, ALPHA 9","edm, electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance, alt z, progressive house, progressive trance, russian trance, trance, uplifting trance"
Rush,Hotel Garuda,vapor twitch
Alkantara,Bottai,N/A
I’m Falling - Next Habit Edit,"Anton Powers, Next Habit","deep groove house, house, uk dance, N/A"
No Rival,"Egzod, Maestro Chives, Alaina Cross","N/A, N/A, N/A"
Flying,Curbi,"dutch house, edm, electro house, future house, pop dance, progressive electro house"
Rudimentary - Original mix,GAR,N/A
Shoebox '98,ONnotez,N/A
White Noise,"Disclosure, AlunaGeorge","edm, house, indietronica, uk dance, electropop, uk dance"
Feelings,ENiGMA Dubz,"chillstep, classic dubstep, deep dubstep, minimal dubstep"
Renegade (Slowed + Reverb),Aaryan Shah,dark r&b
Pretty Brown,Butch U,N/A
Garde Le Pour Toi,Paradis,"electro-pop francais, french indie pop, french indietronica"
Memories,Lux-Inspira,indonesian edm
Heat,Cloud Battalion,synthwave
Hindsight,"Tom Martin, SHOR","N/A, N/A"
Still Love You,"Dallerium, MKDN","deep groove house, N/A"
Dreams,THAT KIND,uk dance
Moonpool,Oakwite,"liquid funk, stateside dnb"
Tidalwave,"Moksi, Adam McInnis","bass house, brostep, dutch edm, electro house, electronic trap, N/A"
Love Control,J&K,N/A
Like Mmh,"Panuma, TwoWorldsApart, LissA","N/A, N/A, indie electropop"
Only Knew,"Rootkit, Nevve","chillstep, complextro, electro house, gaming edm, melodic dubstep, pop edm"
Fine Lines,"Felon, EKE","deep groove house, N/A"
Together - SMLE Remix,"CID, smle","bass house, deep groove house, dutch house, edm, electro house, house, pop dance, pop edm, progressive electro house, progressive house, tech house, uk dance, future bass"
Won't Be Here Forever,Phantoms,la pop
Body,Sam Blacky,N/A
live in myth,Brock Wilson,N/A
Sky Is Crying (Kasbo Remix),"ZHU, Kasbo, Yuna","edm, electro house, future bass, pop edm, swedish electropop, vapor twitch, malaysian pop"
