"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1ME8Thb5mDmBYTI3I5f3uJ","Breathe","spotify:artist:19zQevA415Jm6ThEtIwVIb","ZABO","spotify:album:5qiwejbPXY26hyUEZe6k5f","Breathe","spotify:artist:19zQevA415Jm6ThEtIwVIb","ZABO","2018-10-05","https://i.scdn.co/image/ab67616d0000b273aac7410e2af61b876314bd56","1","1","199200","https://p.scdn.co/mp3-preview/19a82cf6dfa7380f8aa2e2d7a15c8e2044107e90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USLQ21880104","","2020-09-26T22:06:26Z"
"spotify:track:1bimKafaOh1IO2dNZOtDUj","Fake Friends (feat. Alex Hosking) - Disciples Remix","spotify:artist:7bZGP9ijvv55LOENT634Mj, spotify:artist:5YCU9eHY4IYTyNa8XRFuw9, spotify:artist:5EehXjjMktLuJmbRsM7YfB","PS1, Alex Hosking, Disciples","spotify:album:5ym3C9P8qfF60rOkEtZycZ","Fake Friends (Disciples Remix) (feat. Alex Hosking)","spotify:artist:7bZGP9ijvv55LOENT634Mj, spotify:artist:5YCU9eHY4IYTyNa8XRFuw9, spotify:artist:5EehXjjMktLuJmbRsM7YfB","PS1, Alex Hosking, Disciples","2020-07-24","https://i.scdn.co/image/ab67616d0000b273027f992474de5d4945ca864e","1","1","183414","https://p.scdn.co/mp3-preview/1a6f1ec182d681b658aec521e2055eb10ce4ab50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","UK4ZF2000367","","2020-09-18T19:30:37Z"
"spotify:track:5mPFXECMRYfPOqm8gGfCEc","Be Randy","spotify:artist:205i7E8fNVfojowcQSfK9m, spotify:artist:7lQOxDl96wmNoqGoW4kgv4","Dom Dolla, Torren Foot","spotify:album:0uML5P8vcrBvSu0BIuLtAy","Be Randy","spotify:artist:205i7E8fNVfojowcQSfK9m, spotify:artist:7lQOxDl96wmNoqGoW4kgv4","Dom Dolla, Torren Foot","2017-07-14","https://i.scdn.co/image/ab67616d0000b2737cebeaebef5e1c1748ad72e5","1","1","195737","https://p.scdn.co/mp3-preview/97b83c75ba131168e37740fcba603a269618da4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","AUDCB1701042","","2020-09-18T19:28:24Z"
"spotify:track:6oSWam6C5d0HyUS4bVNVqN","Only The Gods (feat. Anabel Englund)","spotify:artist:5EehXjjMktLuJmbRsM7YfB, spotify:artist:44T94QQEc60Jf7kqGY6Rip, spotify:artist:3ky8xBRraNNzxzXEw6Ga0c","Disciples, Lee Foss, Anabel Englund","spotify:album:4gaWk8Dxttn5CvKAN5kRYR","Only the Gods / Better on My Own (feat. Anabel Englund)","spotify:artist:5EehXjjMktLuJmbRsM7YfB, spotify:artist:3ky8xBRraNNzxzXEw6Ga0c","Disciples, Anabel Englund","2020-04-17","https://i.scdn.co/image/ab67616d0000b2733cdbdf6b3dd4d324ab4263c8","1","1","277690","https://p.scdn.co/mp3-preview/0a14f581751d815ba9501e9c1f45f64fa6376979?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBAYE2000161","","2020-09-18T17:30:10Z"
"spotify:track:5Xc74Dn1ZKH6H8XaVGOHXG","On My Mind","spotify:artist:5EehXjjMktLuJmbRsM7YfB","Disciples","spotify:album:13biMJo399EhkSRUTQnjDI","On My Mind","spotify:artist:5EehXjjMktLuJmbRsM7YfB","Disciples","2017-02-17","https://i.scdn.co/image/ab67616d0000b273c3647b02a2dba464fa7a739b","1","1","185845","https://p.scdn.co/mp3-preview/fda375e3429ab385ab9a8d451368607f53a0dc43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBAYE1700565","","2020-09-18T17:27:18Z"
"spotify:track:1djh7DdNiRHdGFj5ils3BN","Angetenar","spotify:artist:7dJzxVffEZI5MuHOJiQB5A","Rompasso","spotify:album:2JvlBfgQlkLEQahbAWpPlP","Angetenar","spotify:artist:7dJzxVffEZI5MuHOJiQB5A","Rompasso","2018-10-12","https://i.scdn.co/image/ab67616d0000b273ccb4e5faa6d417939d9ca23c","1","2","366031","https://p.scdn.co/mp3-preview/6c0c488b9df122dbefcae4895891f69ab28a6ed0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","RUB421800682","","2020-09-11T00:03:18Z"
"spotify:track:75wP09efeYdo6B644E33vf","Better On My Own (feat. Anabel Englund)","spotify:artist:5EehXjjMktLuJmbRsM7YfB, spotify:artist:3ky8xBRraNNzxzXEw6Ga0c","Disciples, Anabel Englund","spotify:album:4gaWk8Dxttn5CvKAN5kRYR","Only the Gods / Better on My Own (feat. Anabel Englund)","spotify:artist:5EehXjjMktLuJmbRsM7YfB, spotify:artist:3ky8xBRraNNzxzXEw6Ga0c","Disciples, Anabel Englund","2020-04-17","https://i.scdn.co/image/ab67616d0000b2733cdbdf6b3dd4d324ab4263c8","1","2","288335","https://p.scdn.co/mp3-preview/6f58a5bd4de9aec517fbfd4a64db3748944a4da9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBAYE2000162","","2020-09-06T20:21:57Z"
"spotify:track:0zbW3rzjR2OjbOtGhyGZ72","Løve Me (Tom Budin Remix)","spotify:artist:7lQOxDl96wmNoqGoW4kgv4, spotify:artist:1kwRrQDCpXpVliMDntpxCt","Torren Foot, Tom Budin","spotify:album:0vNmOUD5haxWCc18ucjpOY","Løve Me (Tom Budin Remix)","spotify:artist:7lQOxDl96wmNoqGoW4kgv4, spotify:artist:1kwRrQDCpXpVliMDntpxCt","Torren Foot, Tom Budin","2017-05-11","https://i.scdn.co/image/ab67616d0000b27355b8fd11b8c334866784f034","1","1","300505","https://p.scdn.co/mp3-preview/b11b3a4c2736286d85a587c9b8dda5ea3bd12632?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","AUON21771506","","2020-09-05T02:29:13Z"
"spotify:track:0HqllOAngT7fF5vJVRkSg7","All over Again (feat. Tzar)","spotify:artist:7lm68Uw3UZDD1vlAWpLeDL, spotify:artist:6oMBHWDRue76zAGaT8Rxw0","Falcons, Tzar","spotify:album:5s4xdjn0lVzcxLCVJW6x6p","All over Again (feat. Tzar)","spotify:artist:7lm68Uw3UZDD1vlAWpLeDL","Falcons","2017-10-17","https://i.scdn.co/image/ab67616d0000b273f856219989933e96db516048","1","1","204797","https://p.scdn.co/mp3-preview/5f43937c55d8485f1507049e28a3a95f6c040f50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","QMSDU1700173","","2020-09-05T02:01:52Z"
"spotify:track:3sFFJrgB265HZ6BoeZK2vk","Understand","spotify:artist:1VIumBsrMjViJq6yDh93JJ","James Oliver","spotify:album:4EqonEOrOHYRDg2Yw3HDZJ","Understand","spotify:artist:1VIumBsrMjViJq6yDh93JJ","James Oliver","2019-03-14","https://i.scdn.co/image/ab67616d0000b273ddfd0b56ecb468cc44feafd0","1","1","232542","https://p.scdn.co/mp3-preview/402ffa52ef5b835fa865e5bf45fa24042cfe3e6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QZES51976206","","2020-09-05T01:52:35Z"
"spotify:track:6cx06DFPPHchuUAcTxznu9","Head & Heart (feat. MNEK)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:7uMh23xWiuR7zsNkuNcm2G","Joel Corry, MNEK","spotify:album:5glfCPECXSHzidU6exW8wO","Head & Heart (feat. MNEK)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:7uMh23xWiuR7zsNkuNcm2G","Joel Corry, MNEK","2020-07-03","https://i.scdn.co/image/ab67616d0000b27391e93c59bacfe819db9601eb","1","1","166028","https://p.scdn.co/mp3-preview/3938e09213235a9c38dc190ec5e72024c5edf746?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","UK4ZF2000305","","2020-09-04T20:47:57Z"
"spotify:track:1emvc92sxgcxviulv63ZEr","You & I","spotify:artist:4fxRhGF08oSVvvjHoK6QNO, spotify:artist:2UigI5MV3775YMLTOhiNyn, spotify:artist:5tPvJ39l1IXfzW2jk6jtUp","Dallerium, CEA, Ferington","spotify:album:6DyF5dpuMmkbpam62yf5Ip","You & I","spotify:artist:4fxRhGF08oSVvvjHoK6QNO, spotify:artist:2UigI5MV3775YMLTOhiNyn, spotify:artist:5tPvJ39l1IXfzW2jk6jtUp","Dallerium, CEA, Ferington","2018-06-08","https://i.scdn.co/image/ab67616d0000b2736850398b5656e3ff31c06b48","1","1","167619","https://p.scdn.co/mp3-preview/c0046d74cf4b65b64721cd99071646a1370756da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","DES231800150","","2020-09-04T17:29:29Z"
"spotify:track:4Dg0FSovv3n8IBS9QMezTp","Generate","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","spotify:album:2Kwbn1H4KMGZAe4MS6uDzU","Opus","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","2016-02-05","https://i.scdn.co/image/ab67616d0000b27324492f2ba3a1d995e1faf5d8","1","13","431106","https://p.scdn.co/mp3-preview/0ef989c5c405d9a56e997a3b5ae731f4c3329dbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBUM71507634","","2020-08-30T18:24:00Z"
"spotify:track:4LzoF4ATk5OIlzN6V67PiP","Right In Front Of Me","spotify:artist:0Sz2jslaxjcw2VM5zYh2jK, spotify:artist:2KPQ6PYAZapLEwMmkzbQxC","Kaleena Zanders, Win and Woo","spotify:album:20CigEh4ApcEpXZE0Ad48A","Right In Front Of Me","spotify:artist:2KPQ6PYAZapLEwMmkzbQxC, spotify:artist:0Sz2jslaxjcw2VM5zYh2jK","Win and Woo, Kaleena Zanders","2019-01-29","https://i.scdn.co/image/ab67616d0000b2737edbf26db76a3869e87e99a1","1","1","228000","","false","0","CA5KR1900203","","2020-08-27T19:51:10Z"
"spotify:track:5WliYG94HXFCo7RmYZ7bLE","Love Like That","spotify:artist:6TQj5BFPooTa08A7pk8AQ1, spotify:artist:2fSGqh4BJpl0T1LHtd9TQ8","Kaskade, Dani Poppitt","spotify:album:5nu0DOF0xqGEuXEiYeHhHi","Love Like That","spotify:artist:6TQj5BFPooTa08A7pk8AQ1","Kaskade","2020-03-06","https://i.scdn.co/image/ab67616d0000b273c26b13921ff1eb8085e84e28","1","1","216062","","false","3","GBKPL2089747","","2020-08-27T19:48:22Z"
